p,b,target_rate,run,actual_throughput,avg_latency,avg_wait,success_rate,gpu_load_balance,experiment_id,timestamp
1,1,0.5,1,0.690,1235,0,100.00,100.00,p1b1r0.5_run1,2025-08-17T13:20:42+00:00
1,1,0.5,2,0.670,1166,0,100.00,100.00,p1b1r0.5_run2,2025-08-17T13:21:43+00:00
1,1,1.0,1,1.010,1228,0,100.00,100.00,p1b1r1.0_run1,2025-08-17T13:22:54+00:00
1,1,1.0,2,1.020,1277,0,100.00,100.00,p1b1r1.0_run2,2025-08-17T13:24:08+00:00
1,1,1.5,1,1.000,1248,0,100.00,100.00,p1b1r1.5_run1,2025-08-17T13:24:58+00:00
1,1,1.5,2,0.980,1299,0,100.00,100.00,p1b1r1.5_run2,2025-08-17T13:26:10+00:00
1,1,2.0,1,0.990,1267,0,100.00,100.00,p1b1r2.0_run1,2025-08-17T13:26:59+00:00
1,1,2.0,2,0.960,1255,0,100.00,100.00,p1b1r2.0_run2,2025-08-17T13:27:47+00:00
1,1,2.5,1,1.010,1250,0,100.00,100.00,p1b1r2.5_run1,2025-08-17T13:28:36+00:00
1,1,2.5,2,1.050,1201,0,100.00,100.00,p1b1r2.5_run2,2025-08-17T13:29:31+00:00
1,1,3.0,1,1.000,1235,0,100.00,100.00,p1b1r3.0_run1,2025-08-17T13:30:24+00:00
1,1,3.0,2,1.060,1209,0,100.00,100.00,p1b1r3.0_run2,2025-08-17T13:31:11+00:00
1,1,4.0,1,0.980,1265,0,100.00,100.00,p1b1r4.0_run1,2025-08-17T13:32:12+00:00
1,1,4.0,2,1.030,1222,0,100.00,100.00,p1b1r4.0_run2,2025-08-17T13:33:15+00:00
1,1,5.0,1,0.940,1303,0,100.00,100.00,p1b1r5.0_run1,2025-08-17T13:34:06+00:00
1,1,5.0,2,0.930,1313,0,100.00,100.00,p1b1r5.0_run2,2025-08-17T13:34:54+00:00
1,1,6.0,1,1.020,1221,0,100.00,100.00,p1b1r6.0_run1,2025-08-17T13:35:58+00:00
1,1,6.0,2,1.000,1261,0,100.00,100.00,p1b1r6.0_run2,2025-08-17T13:36:47+00:00
1,2,0.5,1,0.570,1960,1000,100.00,100.00,p1b2r0.5_run1,2025-08-17T13:38:18+00:00
1,2,0.5,2,0.580,1992,1000,100.00,100.00,p1b2r0.5_run2,2025-08-17T13:39:57+00:00
1,2,1.0,1,1.180,1507,500,100.00,100.00,p1b2r1.0_run1,2025-08-17T13:41:10+00:00
1,2,1.0,2,1.190,1487,500,100.00,100.00,p1b2r1.0_run2,2025-08-17T13:42:20+00:00
1,2,1.5,1,1.160,1345,334,100.00,100.00,p1b2r1.5_run1,2025-08-17T13:43:37+00:00
1,2,1.5,2,1.130,1385,334,100.00,100.00,p1b2r1.5_run2,2025-08-17T13:44:40+00:00
1,2,2.0,1,1.220,1227,250,100.00,100.00,p1b2r2.0_run1,2025-08-17T13:45:47+00:00
1,2,2.0,2,1.170,1267,250,100.00,100.00,p1b2r2.0_run2,2025-08-17T13:46:52+00:00
1,2,2.5,1,1.140,1229,201,100.00,100.00,p1b2r2.5_run1,2025-08-17T13:47:55+00:00
1,2,2.5,2,1.130,1229,200,100.00,100.00,p1b2r2.5_run2,2025-08-17T13:48:58+00:00
1,2,3.0,1,1.170,1196,167,100.00,100.00,p1b2r3.0_run1,2025-08-17T13:50:05+00:00
1,2,3.0,2,1.210,1124,167,100.00,100.00,p1b2r3.0_run2,2025-08-17T13:51:04+00:00
1,2,4.0,1,1.150,1159,126,100.00,100.00,p1b2r4.0_run1,2025-08-17T13:52:05+00:00
1,2,4.0,2,1.060,1243,125,100.00,100.00,p1b2r4.0_run2,2025-08-17T13:53:08+00:00
1,2,5.0,1,1.210,1090,100,100.00,100.00,p1b2r5.0_run1,2025-08-17T13:54:06+00:00
