experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p10b1_10req,10,1,2.0,10,10,100.0,0.6729,7994.7,0.0,7994.7,14.861,10,1.0,100.0,2.3552
p10b2_20req,10,2,2.0,20,20,100.0,1.2341,10747.15,1977.55,8769.6,16.206,10,2.0,100.0,4.9364
p10b2_20req,10,2,2.0,20,20,100.0,1.173,9760.85,1978.55,7782.3,17.051,10,2.0,100.0,4.6918
p10b4_40req,10,4,2.0,40,40,100.0,1.5764,15325.075,7238.475,8086.6,25.375,10,4.0,100.0,7.8818
p10b8_80req,10,8,2.0,80,80,100.0,1.6293,27408.0375,17315.1375,10092.9,49.1,10,8.0,100.0,11.4053
p10b8_80req,10,8,2.0,80,80,100.0,1.6252,27968.75,17326.25,10642.5,49.224,10,8.0,100.0,11.3766
p11b1_11req,11,1,2.0,11,11,100.0,0.823,7574.0909,0.0,7574.0909,13.365,11,1.0,100.0,2.6188
p11b2_22req,11,2,2.0,22,22,100.0,1.1564,10266.4545,2324.4545,7942.0,19.025,11,2.0,100.0,4.205
p11b2_22req,11,2,2.0,22,22,100.0,1.3039,10276.7273,2278.9091,7997.8182,16.873,11,2.0,100.0,4.7413
p11b4_44req,11,4,2.0,44,44,100.0,1.429,17946.4091,8014.7727,9931.6364,30.79,11,4.0,100.0,6.4956
p11b4_44req,11,4,2.0,44,44,100.0,1.5067,16992.8182,8012.9091,8979.9091,29.203,11,4.0,100.0,6.8486
p11b4_44req,11,4,2.0,44,44,100.0,1.5122,17932.7045,7985.8864,9946.8182,29.097,11,4.0,100.0,6.8736
p11b8_88req,11,8,2.0,88,88,100.0,1.6679,30058.0,19098.0909,10959.9091,52.76,11,8.0,100.0,10.6141
p12b1_12req,12,1,2.0,12,12,100.0,0.8909,9126.6667,0.0,9126.6667,13.47,12,1.0,100.0,2.5984
p12b1_12req,12,1,2.0,12,12,100.0,0.7642,8375.5833,0.0,8375.5833,15.703,12,1.0,100.0,2.2289
p12b1_12req,12,1,2.0,12,12,100.0,0.9618,7739.3333,0.0,7739.3333,12.476,12,1.0,100.0,2.8054
p12b1_12req,12,1,2.0,12,12,100.0,1.1893,9610.0833,0.0,9610.0833,10.09,12,1.0,100.0,3.4688
p12b2_24req,12,2,2.0,24,24,100.0,1.3965,10157.25,2562.4167,7594.8333,17.186,12,2.0,100.0,4.655
p12b2_24req,12,2,2.0,24,24,100.0,1.4425,9357.625,2565.375,6792.25,16.638,12,2.0,100.0,4.8083
p12b2_24req,12,2,2.0,24,24,100.0,1.3079,10494.25,2567.5833,7926.6667,18.35,12,2.0,100.0,4.3597
p12b4_48req,12,4,2.0,48,48,100.0,1.5077,17799.2083,8783.375,9015.8333,31.836,12,4.0,100.0,6.2822
p12b4_48req,12,4,2.0,48,48,100.0,1.5526,17226.875,8751.7917,8475.0833,30.916,12,4.0,100.0,6.4691
p13b1_13req,13,1,2.0,13,13,100.0,0.8522,7660.1538,0.0,7660.1538,15.255,13,1.0,100.0,2.2943
p13b2_26req,13,2,2.0,26,26,100.0,1.3116,9443.9231,2847.4615,6596.4615,19.823,13,2.0,100.0,4.0357
p13b4_52req,13,4,2.0,52,52,100.0,1.6003,19075.5962,9552.1346,9523.4615,32.494,13,4.0,100.0,6.155
p13b4_52req,13,4,2.0,52,52,100.0,1.509,18728.2885,9519.5192,9208.7692,34.459,13,4.0,100.0,5.804
p13b4_52req,13,4,2.0,52,52,100.0,1.5205,18629.2308,9488.0769,9141.1538,34.2,13,4.0,100.0,5.848
p13b8_104req,13,8,2.0,104,104,100.0,1.6959,33721.3654,22621.0577,11100.3077,61.326,13,8.0,100.0,9.1315
p14b1_14req,14,1,2.0,14,14,100.0,1.3292,6725.8571,0.0,6725.8571,10.533,14,1.0,100.0,3.3229
p14b1_14req,14,1,2.0,14,14,100.0,0.9886,8321.2143,0.0,8321.2143,14.162,14,1.0,100.0,2.4714
p14b1_14req,14,1,2.0,14,14,100.0,1.045,8697.1429,0.0,8697.1429,13.397,14,1.0,100.0,2.6125
p14b1_14req,14,1,2.0,14,14,100.0,1.0817,8086.2857,0.0,8086.2857,12.942,14,1.0,100.0,2.7044
p14b2_28req,14,2,2.0,28,28,100.0,1.5614,9216.0,3126.9286,6089.0714,17.933,14,2.0,100.0,4.461
p14b2_28req,14,2,2.0,28,28,100.0,1.3491,10313.8214,3127.75,7186.0714,20.754,14,2.0,100.0,3.8547
p14b4_56req,14,4,2.0,56,56,100.0,1.6242,18896.6607,10316.7321,8579.9286,34.478,14,4.0,100.0,5.8008
p14b4_56req,14,4,2.0,56,56,100.0,1.7571,18059.6607,10317.4464,7742.2143,31.87,14,4.0,100.0,6.2755
p14b8_112req,14,8,2.0,112,112,100.0,1.8002,35089.7054,24368.1339,10721.5714,62.214,14,8.0,100.0,9.0012
p14b8_112req,14,8,2.0,112,112,100.0,1.7171,35134.2768,24380.0625,10754.2143,65.225,14,8.0,100.0,8.5857
p14b8_112req,14,8,2.0,112,112,100.0,1.7489,35544.0089,24387.7232,11156.2857,64.039,14,8.0,100.0,8.7447
p14b8_112req,14,8,2.0,112,112,100.0,1.7485,34906.5089,24381.4375,10525.0714,64.056,14,8.0,100.0,8.7424
p15b1_15req,15,1,2.0,15,15,100.0,1.2072,7832.9333,0.0,7832.9333,12.425,15,1.0,100.0,2.8169
p15b1_15req,15,1,2.0,15,15,100.0,1.1526,7637.2667,0.0,7637.2667,13.014,15,1.0,100.0,2.6894
p15b1_15req,15,1,2.0,15,15,100.0,1.5284,9308.0667,0.0,9308.0667,9.814,15,1.0,100.0,3.5663
p15b1_15req,15,1,2.0,15,15,100.0,1.1199,9532.5333,0.0,9532.5333,13.394,15,1.0,100.0,2.6131
p15b2_30req,15,2,2.0,30,30,100.0,1.4535,10337.5,3403.6333,6933.8667,20.64,15,2.0,100.0,3.876
p15b4_60req,15,4,2.0,60,60,100.0,1.5563,20469.3167,11079.1167,9390.2,38.553,15,4.0,100.0,5.1877
p15b4_60req,15,4,2.0,60,60,100.0,1.5917,19877.05,11057.5833,8819.4667,37.696,15,4.0,100.0,5.3056
p15b4_60req,15,4,2.0,60,60,100.0,1.5809,19608.7167,11017.9167,8590.8,37.952,15,4.0,100.0,5.2698
p15b8_120req,15,8,2.0,120,120,100.0,1.7379,37239.4,26175.2667,11064.1333,69.048,15,8.0,100.0,8.1103
p15b8_120req,15,8,2.0,120,120,100.0,1.7451,37133.775,26116.2417,11017.5333,68.762,15,8.0,100.0,8.144
p16b1_16req,16,1,2.0,16,16,100.0,1.2484,7995.25,0.0,7995.25,12.816,16,1.0,100.0,2.731
p16b1_16req,16,1,2.0,16,16,100.0,1.6442,7207.125,0.0,7207.125,9.731,16,1.0,100.0,3.5968
p16b1_16req,16,1,2.0,16,16,100.0,1.2546,7259.375,0.0,7259.375,12.753,16,1.0,100.0,2.7445
p16b4_64req,16,4,2.0,64,64,100.0,1.6618,20399.9531,11841.0781,8558.875,38.513,16,4.0,100.0,5.1931
p16b4_64req,16,4,2.0,64,64,100.0,1.7424,19795.5156,11826.3281,7969.1875,36.731,16,4.0,100.0,5.445
p16b4_64req,16,4,2.0,64,64,100.0,1.6289,21329.2031,11839.3906,9489.8125,39.291,16,4.0,100.0,5.0902
p16b4_64req,16,4,2.0,64,64,100.0,1.6117,22143.8281,11772.1406,10371.6875,39.709,16,4.0,100.0,5.0366
p16b8_128req,16,8,2.0,128,128,100.0,1.7794,37907.8359,27872.8984,10034.9375,71.935,16,8.0,100.0,7.7848
p17b1_17req,17,1,2.0,17,17,100.0,1.4336,7653.1765,0.0,7653.1765,11.858,17,1.0,100.0,2.9516
p17b2_34req,17,2,2.0,34,34,100.0,1.3741,9951.3529,3943.0,6008.3529,24.744,17,2.0,100.0,3.2331
p17b8_136req,17,8,2.0,136,136,100.0,1.7922,40331.9265,29649.9265,10682.0,75.885,17,8.0,100.0,7.3796
p18b1_18req,18,1,2.0,18,18,100.0,1.3478,7263.5556,0.0,7263.5556,13.355,18,1.0,100.0,2.6207
p18b1_18req,18,1,2.0,18,18,100.0,1.552,7219.6111,0.0,7219.6111,11.598,18,1.0,100.0,3.0178
p18b1_18req,18,1,2.0,18,18,100.0,1.6449,7504.1111,0.0,7504.1111,10.943,18,1.0,100.0,3.1984
p18b2_36req,18,2,2.0,36,36,100.0,1.4304,11467.3611,4211.5278,7255.8333,25.167,18,2.0,100.0,3.1788
p18b4_72req,18,4,2.0,72,72,100.0,1.6417,22482.5694,13359.9028,9122.6667,43.857,18,4.0,100.0,4.5603
p18b8_144req,18,8,2.0,144,144,100.0,1.7797,42386.5347,31414.7014,10971.8333,80.911,18,8.0,100.0,6.9212
p18b8_144req,18,8,2.0,144,144,100.0,1.8007,41021.8958,31419.6181,9602.2778,79.967,18,8.0,100.0,7.0029
