parallelism,throughput_rps,avg_latency_ms
1,0.25614285714285717,11226.92857142857
2,0.3743,10748.520833333334
3,0.7587615384615384,13079.929492307692
4,1.01118,14482.63752
5,1.11972,14460.34
6,0.864025,11305.42705
7,1.18512,13974.49642
8,1.0324222222222224,12680.234377777779
9,1.28125,12949.631949999999
10,1.3184833333333332,16534.09375
11,1.3427285714285715,15863.886357142856
12,1.2237111111111112,11098.541655555555
13,1.4149166666666666,17876.426300000003
14,1.4792500000000002,19082.595233333333
15,1.4673500000000002,17897.65584
16,1.571425,18004.760725
17,1.5332999999999999,19312.151966666668
18,1.5996000000000001,19906.519828571425
19,1.6676000000000002,26176.86054
