experiment_id,parallelism,batch_size,target_rate,total_requests,success_requests,success_rate_pct,throughput_rps,avg_latency_ms,avg_wait_ms,avg_inference_ms,processing_time_sec,actual_batches,avg_batch_size,load_balance_pct,resource_utilization_pct
p10b1_20req,10,1,1.0,20,20,100.0,0.1607,54738.1,0.0,54738.1,124.475,20,1.0,100.0,0.5624
p10b1_20req,10,1,0.6667,20,20,100.0,0.1629,60637.7,0.0,60637.7,122.798,20,1.0,100.0,0.57
p10b2_80req,10,2,0.5,80,80,100.0,0.1588,103997.75,2442.35,101555.4,503.757,40,2.0,100.0,0.6352
p10b2_80req,10,2,0.5,80,80,100.0,0.1685,94298.8,2446.475,91852.325,474.879,40,2.0,100.0,0.6739
p10b4_160req,10,4,0.5,160,160,100.0,0.2298,168441.925,7524.325,160917.6,696.39,40,4.0,100.0,1.1488
p10b8_320req,10,8,0.5,320,320,100.0,0.2907,287195.8188,17688.4688,269507.35,1100.797,40,8.0,100.0,2.0349
p10b8_320req,10,8,1.0,320,320,100.0,0.2915,283868.3406,8731.0906,275137.25,1097.927,40,8.0,100.0,2.0402
p11b1_44req,11,1,0.5,44,44,100.0,0.2242,50738.9091,0.0,50738.9091,196.288,44,1.0,100.0,0.7132
p11b1_44req,11,1,2.0,44,44,100.0,0.1626,56640.1364,0.0,56640.1364,270.673,44,1.0,100.0,0.5172
p11b1_22req,11,1,2.5,22,22,100.0,0.1831,58434.8636,0.0,58434.8636,120.159,22,1.0,100.0,0.5826
p11b1_22req,11,1,0.6667,22,22,100.0,0.1544,68179.7727,0.0,68179.7727,142.473,22,1.0,100.0,0.4913
p11b1_22req,11,1,1.0,22,22,100.0,0.1663,61063.3636,0.0,61063.3636,132.302,22,1.0,100.0,0.5291
p11b1_22req,11,1,1.0,22,22,100.0,0.1503,60373.7273,0.0,60373.7273,146.384,22,1.0,100.0,0.4782
p11b8_352req,11,8,4.0,352,352,100.0,0.3207,287117.4233,2351.9688,284765.4545,1097.693,44,8.0,100.0,2.0406
p12b1_24req,12,1,1.0,24,24,100.0,0.2051,58827.1667,0.0,58827.1667,117.002,24,1.0,100.0,0.5983
p12b1_24req,12,1,1.0,24,24,100.0,0.1881,58944.625,0.0,58944.625,127.588,24,1.0,100.0,0.5486
p12b1_24req,12,1,0.6667,24,24,100.0,0.2669,55389.3333,0.0,55389.3333,89.911,24,1.0,100.0,0.7785
p13b1_52req,13,1,2.0,52,52,100.0,0.2045,55512.4038,0.0,55512.4038,254.31,52,1.0,100.0,0.5505
p13b1_26req,13,1,2.0,26,26,100.0,0.2787,54914.7692,0.0,54914.7692,93.305,26,1.0,100.0,0.7502
p13b1_26req,13,1,0.5,26,26,100.0,0.2822,51367.3846,0.0,51367.3846,92.124,26,1.0,100.0,0.7598
p13b1_26req,13,1,1.0,26,26,100.0,0.2335,56159.6538,0.0,56159.6538,111.334,26,1.0,100.0,0.6287
p13b1_26req,13,1,0.6667,26,26,100.0,0.1452,73284.3462,0.0,73284.3462,179.017,26,1.0,100.0,0.391
p13b2_104req,13,2,2.0,104,104,100.0,0.188,125044.5865,712.8365,124331.75,553.251,52,2.0,100.0,0.5784
p13b2_104req,13,2,2.5,104,104,100.0,0.1929,115610.2308,526.3654,115083.8654,539.181,52,2.0,100.0,0.5935
p13b8_416req,13,8,5.0,416,416,100.0,0.3326,281985.8149,2219.3534,279766.4615,1250.922,52,8.0,100.0,1.7907
p14b1_28req,14,1,0.6667,28,28,100.0,0.2715,51145.7857,0.0,51145.7857,103.117,28,1.0,100.0,0.6788
p14b1_28req,14,1,0.6667,28,28,100.0,0.1444,55601.3214,0.0,55601.3214,193.899,28,1.0,100.0,0.361
p14b1_28req,14,1,2.0,28,28,100.0,0.2021,60743.8929,0.0,60743.8929,138.527,28,1.0,100.0,0.5053
p14b2_112req,14,2,2.0,112,112,100.0,0.2157,111129.0893,783.2321,110345.8571,519.34,56,2.0,100.0,0.6162
p15b2_120req,15,2,0.5,120,120,100.0,0.2709,100787.025,4057.9583,96729.0667,442.951,60,2.0,100.0,0.7224
p15b4_240req,15,4,5.0,240,240,100.0,0.2524,180870.8,1026.8167,179843.9833,950.691,60,4.0,100.0,0.8415
p15b8_480req,15,8,0.5,480,480,100.0,0.408,303462.9875,31242.9042,272220.0833,1176.551,60,8.0,100.0,1.9039
p16b1_64req,16,1,2.5,64,64,100.0,0.1951,55334.1406,0.0,55334.1406,328.115,64,1.0,100.0,0.4267
p16b1_32req,16,1,0.5,32,32,100.0,0.2198,53969.4688,0.0,53969.4688,145.604,32,1.0,100.0,0.4808
p16b1_32req,16,1,2.0,32,32,100.0,0.1652,63505.0313,0.0,63505.0313,193.669,32,1.0,100.0,0.3614
p16b1_32req,16,1,0.5,32,32,100.0,0.1952,62261.9688,0.0,62261.9688,163.904,32,1.0,100.0,0.4271
p16b2_128req,16,2,2.5,128,128,100.0,0.2283,121215.3984,701.3672,120514.0313,560.621,64,2.0,100.0,0.5708
