response_id,request_id,batch_size,wait_time_ms,process_time_ms,total_latency_ms,success,timestamp
1,req_000,2,200,1640,1840,true,1754902417434
2,req_001,2,0,635,635,true,1754902418274
3,req_002,2,200,931,1131,true,1754902419609
4,req_003,2,0,1333,1333,true,1754902421146
5,req_004,2,200,1275,1475,true,1754902422826
6,req_005,2,0,970,970,true,1754902424004
7,req_006,2,200,769,969,true,1754902425177
8,req_007,2,0,720,720,true,1754902426101
9,req_008,2,200,668,868,true,1754902427173
10,req_009,2,0,1161,1161,true,1754902428538
11,req_010,2,200,631,831,true,1754902429574
12,req_011,2,0,875,875,true,1754902430653
13,req_012,2,200,742,942,true,1754902431798
14,req_013,2,0,628,628,true,1754902432630
15,req_014,2,200,1266,1466,true,1754902434299
16,req_015,2,0,636,636,true,1754902435142
17,req_016,2,200,724,924,true,1754902436270
18,req_017,2,0,710,710,true,1754902437183
19,req_018,2,200,1138,1338,true,1754902438725
20,req_019,2,0,1399,1399,true,1754902440327
21,req_020,2,200,915,1115,true,1754902441646
22,req_021,2,0,618,618,true,1754902442468
23,req_022,2,200,734,934,true,1754902443605
24,req_023,2,0,944,944,true,1754902444753
25,req_024,2,200,798,998,true,1754902445954
